cid,name,atc,cid_from_name,isomeric_smiles
68844,brinzolamide,S01EC04,68844,CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC
156418,cinacalcet,H05BX01,156419,C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F
47725,goserelin,L02AE03,5311128,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(=O)N)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6
4091,metformin,A10BA02,4091,CN(C)C(=N)N=C(N)N
5734,zonisamide,N03AX15,5734,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
42890,idarubicin,L01DB06,42890,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
5732,zolpidem,N05CF02,5732,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C
55245,mifepristone,G03XB01,55245,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O
446156,cerivastatin,C10AA06,446156,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O
446157,rosuvastatin,C10AA07,446157,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C
446155,fluvastatin,C10AA04,446155,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C3=CC=C(C=C3)F
119607,valdecoxib,M01AH03,119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
73491,fosfomycin,J01XX01,446987,C[C@H]1[C@H](O1)P(=O)(O)O
60852,ibandronic.acid,M05BA06,60852,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
60853,ziprasidone,N05AE04,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
60855,zanamivir,J05AH01,60855,CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)N=C(N)N
60857,zolmitriptan,N02CC03,60857,CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3
65028,oseltamivir,J05AH02,65028,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC
